,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
34,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1.121340413096118,,,,0.2727584788612179,0.4805744627554791,1.2615079647331329,1.4417233882664375,,,,,,,2.0184127435730126,0.4036825487146025,,,,,,,,,,,
35,,,,,,no,Predictive Maintenance,,,1,1.0:40,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.24399995761059992,0.42990468721867603,,,0.16414542602894902,9.027998431592197,0.5310587312701291,,,,0.1289714061656028,0.09920877397354062,1.8055996863184396,,,0.21495234360933801,0.13889228356295688,0.22019508369737067,,0.08359257807029812,0.3472307089073922,0.5642499019745123,
36,,,,,,no,Predictive Maintenance,,,1,40.0:700,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,,,,,,0.24399995761059992,0.42990468721867603,,,0.16414542602894902,9.027998431592197,0.5310587312701291,,,,0.1289714061656028,0.09920877397354062,1.8055996863184396,,,0.21495234360933801,0.13889228356295688,0.22019508369737067,,0.08359257807029812,0.3472307089073922,0.5642499019745123,
37,,,,,,no,Predictive Maintenance,,,1,700.0:2000,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.24399995761059992,0.42990468721867603,,,0.16414542602894902,9.027998431592197,0.5310587312701291,,,,0.1289714061656028,0.09920877397354062,1.8055996863184396,,,0.21495234360933801,0.13889228356295688,0.22019508369737067,,0.08359257807029812,0.3472307089073922,0.5642499019745123,
38,,,,,,no,Predictive Maintenance,,,1,1.0:1000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.4811817878963145,0.8477964834363635,,,0.3237041118575206,5.934575384054544,0.8901863076081818,,,,0.25433894503090904,0.19564534233146852,1.9781917946848482,,,0.42389824171818175,0.27390347926405595,0.43423722322350333,,0.16484931622373736,0.6847586981601399,1.1127328845102271,
39,,,,,,no,Predictive Maintenance,,,1,1000.0:10000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,,0.39703134365511034,0.6995314150113848,,,0.2670938130043469,7.345079857619541,0.7345079857619542,,,,0.20985942450341544,0.16143032654108883,1.6322399683598978,,,0.3497657075056924,0.22600245715752434,0.3582965784204654,,0.13601999736332482,0.5650061428938109,0.9181349822024426,
40,,,,,,no,Predictive Maintenance,,,1,10000.0:70000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,0.2604084336178931,0.4588148592315259,,,0.17518385534294623,9.635112043862044,0.48175560219310226,,,,0.13764445776945775,0.10588035213035214,1.0705680048735604,,,0.22940742961576294,0.148232492982493,0.23500273277712305,,0.08921400040613003,0.37058123245623253,0.6021945027413778,
41,,,,,,no,Predictive Maintenance,,,1,1.0:50,Multilayer Perceptron,,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.24066225619073342,0.42402397519319696,,,0.1619000632555843,8.904503479057137,0.2872420477115205,,,,0.1272071925579591,0.09785168658304547,0.38715232517639725,,,0.21201198759659848,0.13699236121626365,0.21718301168432042,,0.08244910628756608,0.4946946377253964,2.2261258697642843,
42,,,,,,no,Predictive Maintenance,,,1,50.0:2000,Multilayer Perceptron,,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,,,,,,0.24066225619073342,0.42402397519319696,,,0.1619000632555843,8.904503479057137,0.2872420477115205,,,,0.1272071925579591,0.09785168658304547,0.38715232517639725,,,0.21201198759659848,0.13699236121626365,0.21718301168432042,,0.08244910628756608,0.4946946377253964,2.2261258697642843,
43,,,,,,no,Predictive Maintenance,,,1,1.0:100,Support Vector Machine,,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.49131577554732303,0.8656516045357595,,,0.33052152173183547,3.029780615875158,0.9089341847625477,,,,0.7271473478100381,0.1997657548928676,0.5680838654765923,,,0.43282580226787976,0.27967205685001467,0.4433825291524623,,0.1683211453263977,1.009926871958386,4.544670923812738,
44,,,,,,no,Predictive Maintenance,,,1,100.0:10000,Support Vector Machine,,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,1.00000,,,,,,,,,,,,,,,,0.23597529001114714,0.4157659871624973,,,0.15874701328022625,8.731085730412444,0.4365542865206222,,,,0.3492434292164978,0.09594599703749938,0.27284642907538886,,,0.20788299358124865,0.13432439585249914,0.2129533104978645,,0.08084338639270781,0.48506031835624686,2.182771432603111,
45,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25000,0.25000,0.25000,,,,,,,,0.25000,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,0.25000,0.25000,,,,,,0.25000,,,0.25000,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,0.16667,0.16667,,,,0.16667,0.16667,,,,,,0.16667,,,0.16667,,,,,,,,,,,,,,,,,,0.611111111111111,1.3888888888888888,,,,,,,,,,
48,,,,,,,,,,,1.0:86400,,,,,,,,,,,,,,,,,,0.33333,,,,,,,,,,,,0.33333,,,0.33333,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
49,,,,,,,Process Parameter Prediction,,,1,1.0:200,XGBoost,,,no categorical features,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,1.00000,,,,,,,,,,,,,,,,,,,,,,,,0.8959184670025985,,,0.14660484005497065,8.063266203023387,0.8959184670025985,,,1.151895171860484,0.11518951718604838,0.08860732091234493,0.19198252864341397,,,0.19198252864341397,0.8063266203023388,0.19666502934203384,,0.07465987225021654,0.44795923350129924,0.7330242002748534,
50,,,,,,,Process Parameter Prediction,,,1,200.0:2000,XGBoost,,,no categorical features,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.33333,,,,,0.33333,0.33333,,,,,,,,,,,,,,,,,0.8959184670025985,,,0.14660484005497065,8.063266203023387,0.8959184670025985,,,1.151895171860484,0.11518951718604838,0.08860732091234493,0.19198252864341397,,,0.19198252864341397,0.8063266203023388,0.19666502934203384,,0.07465987225021654,0.44795923350129924,0.7330242002748534,
