,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
75,,,,,,2,,5.0:50,720,7200.0:72000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
76,,,,,,2,,50.0:500,720,72000.0:720000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
77,,,,,,,,<5,,,Deep Neural Net,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,,0.50000,0.50000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
78,,,,,,,,2.0:50,,,Deep Neural Net,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
79,,,,,,,,50.0:200,,,Deep Neural Net,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
80,,,,,,,,<10,,,Deep Neural Net,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
81,,,,,,,,10.0:200,,,Deep Neural Net,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
82,,,,,,1,,,,1.0:10,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.33333,,0.33333,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
83,,,,,,1,,,,10.0:40,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,1.00000,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
84,,,,,,1,,,,40.0:100,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.50000,,0.50000,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
85,,,,,,1,,,,100.0:400,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.33333,,0.33333,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
86,,,,,,1,,,,400.0:50000,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,0.25000,,,,0.25000,,0.25000,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
87,,,,,,1,,,,50000.0:500000,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,0.20000,0.20000,,,,0.20000,,0.20000,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
88,,,,,,1,,,,>500000,Support Vector Machine,,,1.0:3,no,[continuous],,,Image Data,,,,Offline,Multiclass Classification,Image Recognition,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
89,,,,,,1,,,,1.0:4000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,0.33333,,,0.33333,0.33333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
90,,,,,,1,,,,4000.0:100000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
91,,,,,,1,,,,1.0:10000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,0.33333,,,0.33333,0.33333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
92,,,,,,1,,,,10000.0:100000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
93,,,,,,1,,,,1.0:100,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.33333,,,0.33333,0.33333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
94,,,,,,1,,,,100.0:2000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
95,,,,,,1,,,,2000.0:20000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,0.50000,,,,,,,,0.50000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
96,,,,,,1,,,,20000.0:40000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,0.33333,0.33333,,,,,,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
97,,,,,,1,,,,1.0:4000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.50000,,,0.50000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
98,,,,,,1,,,,4000.0:100000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,0.33333,0.33333,,,,,,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
99,,,,,,1,,,,1.0:1000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,0.33333,,,0.33333,0.33333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100,,,,,,1,,,,1000.0:10000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,1.0:4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
101,,,,,,1,,,,1.0:1000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,0.33000,,,0.33000,0.33000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
102,,,,,,1,,,,1000.0:100000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
103,,,,,,,,<100,,,Support Vector Machine,,,1.0:3,no,[continuous],,,,,,no,Offline,Multiclass Classification,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
104,,,,,,,,<40,,,Support Vector Machine,,,1.0:3,no,[continuous],,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
105,,,,,,,,40.0:100,,,Support Vector Machine,,,1.0:3,no,[continuous],,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
106,,,,,,,,<50,,,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,,,,no,Offline,Multiclass Classification,,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
107,,,,,,,,50.0:100,,,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,,,,no,Offline,Multiclass Classification,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
108,,,,,,,,<100,,,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete]",,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
109,,,,,,,,<30,,,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,,,,no,Offline,Regression,,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
110,,,,,,,,30.0:100,,,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,,,,no,Offline,Regression,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
111,,,,,,,,<30,,,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,,,,yes,Offline,Regression,,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
112,,,,,,,,30.0:100,,,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,,,,yes,Offline,Regression,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
113,,,,,,17,,<200,1800,1.0:360000,Convolutional Neural Net,,,>10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,1.00000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
114,,,,,,17,,200.0:1000,1800,360000.0:1800000,Convolutional Neural Net,,,>10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,1.00000,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
115,,,,,,,,<200,,,Synthetic Function,,,1.0:3,no,[continuous],,,,,,,Offline,,Synthetic Function,,,,,,,,,0.33333,,0.33333,0.33333,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
116,,,,,,,,<200,,,Synthetic Function,,,4.0:10,no,[continuous],,,,,,,Offline,,Synthetic Function,,,,,,,,,0.33333,,0.33333,0.33333,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
117,,,,,,,,<100,,,Logistic Regression,,,4.0:10,no,[continuous],,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,0.50000,,,0.50000,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
118,,,,,,,,<50,,,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[discrete],,,Text Data,,,,Offline,Text,,,,,,,,,,0.50000,,,0.50000,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
119,,,,,,,,<100,,,Support Vector Machine,,,1.0:3,no,[discrete],,,Tabular Data,,,,Offline,Multiclass Classification,,,,,,,,0.25000,,0.25000,,0.25000,0.25000,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
120,,,,,,,,<50,,,Support Vector Machine,,,1.0:3,no,[discrete],,,Tabular Data,<1000,1.0:4,,Offline,Multiclass Classification,,,,,,,,,,,0.50000,0.50000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
121,,,,,,,,>50,,,Support Vector Machine,,,1.0:3,no,[discrete],,,Tabular Data,<1000,1.0:4,,Offline,Multiclass Classification,,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
122,,,,,,,,<50,,,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,<1000,1.0:4,,Offline,Binary Classification,,,,,,,,,,,0.50000,0.50000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
123,,,,,,,,>50,,,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,<1000,1.0:4,,Offline,Binary Classification,,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
124,,,,,,8,,,,1.0:100000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,0.50000,0.50000,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
125,,,,,,8,,,,100000.0:250000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,1.00000,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
126,,,,,,8,,,,>250000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
127,,,,,,1,,,,1.0:150000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,0.25000,0.25000,0.25000,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
128,,,,,,1,,,,>150000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,0.25000,0.25000,0.25000,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
129,,,,,,1,,,,1.0:30000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,0.25000,,,,,,,,0.25000,0.25000,0.25000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
130,,,,,,1,,,,30000.0:90000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,0.20000,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
131,,,,,,1,,,,>90000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,0.25000,,,,,,,,0.25000,,0.25000,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
132,,,,,,25,,,,1.0:60000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,1.00000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
133,,,,,,25,,,,60000.0:90000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,1.00000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
134,,,,,,25,,,,>90000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,0.33333,,0.33333,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
135,,,,,,25,,,,1.0:150000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,0.50000,,,,,,,,,,0.50000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
136,,,,,,25,,,,>150000,Convolutional Neural Net,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,>4,,Offline,Multiclass Classification,Image Recognition,,,,,0.50000,,,,,,,,,,0.50000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
137,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
138,,,,,,,,,,1.0:86400,,no,,,no,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
139,,,,,,,,,,,,no,,>10,yes,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
140,,,,,,,,,,>86400,,yes,,,,[continuous],,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
141,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
142,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
143,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
144,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
145,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
146,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
147,,,,,,,,,,.0,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
148,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
149,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
150,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
151,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
152,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
153,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
154,,,,,,,,,,1.0:7200,,,,,,,,,,,,,,,,0.16667,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
155,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.08,,,,,0.08,0.08,0.08,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
156,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
157,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
158,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
159,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
160,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
161,,,,,,,,,,7200.0:172800,,,,,,,,,,,,,,,,0.07143,0.07143,,,,0.07143,0.07143,0.07143,,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,0.07143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
162,,,,,,,,,,1.0:172800,,yes,,,,,,,,>100000,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
