,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature characteristics,A_Number of features,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Decision Tree,D_Random Forest,D_kNN,"D_LinReg (Ridge, Lasso, Elastic Net)",D_Logistic Regression,"D_Support Vector Machine (SVR, SVC)",D_Naive Bayes Classifier,D_XGBoost,D_Multilayer Perceptron,D_Deep NN,D_Convolutional NN,D_LSTMs,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature characteristics,del_Number of features,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
57,,,,,,,,,yes,yes,,,,,1.0:172800,,,,,,,,,,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,0.090909091,0.090909091,,,,,,,,,1.8141236937208562,1.29580263837204,,,,,3.6282473874417125,,,,,,,,,,
58,,,,,,,,,yes,yes,,,,,1.0:172800,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,1.8141236937208562,1.29580263837204,,,,,3.6282473874417125,,,,,,,,,,
59,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,0.333333333,,,,,,0.333333333,0.333333333,,,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
60,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
61,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
62,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,,,,,0.25,,0.25,,0.25,0.25,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
63,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
64,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
65,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
66,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,,0.333333333,0.333333333,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
67,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
68,,,,,,,,,,no,,,,,>7200,,,,,,,,,,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
69,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,0.33,,0.33,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
70,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
71,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
72,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
73,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
74,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,0.5000,0.5000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
75,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
76,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
77,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
78,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
79,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
80,,,,,,,,,,,,,,,,Tabular data,,,timestamp,,,,,Time Series Prediction,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,0.18130901717177753,,,2.357017223233108,,,,,0.2946271529041385,
81,low,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.166666667,,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,3.25,,,,,,,,,,,,,,,1.25,,,,,,,,,
82,high,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,,,,,,,1,,,,,25.99999999999996,,,,,,,,,,,,,,,27.99999999999996,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
84,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
85,high,medium,no,,,yes,,Windows,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,0.25,0.25,,,,,,0.25,,,,0.25,0.8783745702464736,2.0495406639084384,1.2297243983450632,,,2.4594487966901264,,3.0743109958626578,,0.8783745702464736,2.0495406639084384,,4.099081327816877,,4.099081327816877,0.9459418448808179,3.0743109958626578,2.0495406639084384,2.0495406639084384,1.7567491404929472,2.4594487966901264,,0.9459418448808179,1.5371554979313289,
86,low,medium,no,,,yes,,Windows,,yes,yes,,,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,no,,Binary Classification,Time Series Prediction,,0.3,,,0.3,,,0.3,,,,,0.9083104422311842,0.7569253685259868,0.4541552211155921,,,0.9083104422311842,,1.1353880527889801,,0.3243965865111372,0.7569253685259868,,,,1.5138507370519736,0.349350170088917,2.2707761055779603,0.7569253685259868,0.7569253685259868,0.6487931730222743,4.541552211155921,,1.1353880527889801,0.5676940263944901,
87,low,medium,no,,,yes,,Windows,,yes,yes,,,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,2.9235015301502223,2.4362512751251852,1.4617507650751111,,,2.9235015301502223,,3.654376912687778,,1.044107689339365,2.4362512751251852,,,,4.8725025502503705,1.1244236654423934,3.654376912687778,2.4362512751251852,2.4362512751251852,2.08821537867873,2.9235015301502223,,3.654376912687778,,
88,high,medium,no,,,yes,,linux,,yes,yes,,,,7200.0:172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,0.32604126643820386,0.7607629550224757,0.45645777301348545,,,0.9129155460269709,,4.564577730134854,,0.32604126643820386,0.7607629550224757,,,,1.5215259100449514,0.35112136385652726,1.1411444325337134,0.7607629550224757,0.7607629550224757,0.6520825328764077,0.9129155460269709,,1.1411444325337134,,
89,high,medium,no,,,no,,Windows,,yes,yes,,>200,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Binary Classification,,0.14,0.14,0.14,,0.14,0.14,,0.14,0.14,,,,0.6187724291125727,1.443802334596003,0.8662814007576018,,,2.887604669192006,,2.1657035018940047,,0.6187724291125727,1.443802334596003,,2.887604669192006,,2.887604669192006,0.6663703082750784,4.3314070037880095,1.443802334596003,1.443802334596003,1.2375448582251454,1.7325628015152037,,2.1657035018940047,,
90,high,high,no,,,yes,,Linux,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,,0.33,,,,0.33,,0.33,,,,,0.3380493569299418,0.9465381994038371,0.47326909970191855,,,0.9465381994038371,,4.732690997019185,,0.3380493569299418,0.7887818328365309,,1.5775636656730618,,1.5775636656730618,0.3640531536168604,1.1831727492547963,0.7887818328365309,0.7887818328365309,0.6760987138598836,0.9465381994038371,,0.3640531536168604,0.5915863746273982,
91,,,,,,,Default values,,,,,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,Regression,,,,,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
93,,,,,,,,,,,,,,,,,,,,,,,Binary Classification,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,
94,,,,,,,,,,,,,,,,,,,,,,,Multiclass Classification,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,
