Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: access to parallel computing?;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0323;31;0,0769;13;0,0769;13;0,1429;7;0,0109;92;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0105;95;;24,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;<200;0,01449;;;;;;;;Synthetic Function;0,00855;;;;;;;4.0:10;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;;;Offline;0,00826;;;Synthetic Function;0,01053;116;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Logistic Regression;0,00855;;;;;;;4.0:10;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;117;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Text Data;0,00952;;;;;;;Offline;0,00826;Text;0,00862;;;118;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;;;119;;;;;;;0,25000;;0,25000;;0,25000;0,25000;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;;;120;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;;;121;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;;;;;;
122;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Random Forest;0,00855;;;;;;;4.0:10;0,00775;no;0,00862;[discrete, nominal];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Binary Classification;0,00862;Classification;0,01053;122;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;
123;;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;;;Random Forest;0,00855;;;;;;;4.0:10;0,00775;no;0,00862;[discrete, nominal];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Binary Classification;0,00862;Classification;0,01053;123;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;;;;;;
124;;;;;;;;;;;;yes;0,01087;;;;;;;;;8;0,01190;1.0:100000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;124;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;yes;0,01087;;;;;;;;;8;0,01190;100000.0:250000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;125;;;;;;;;;;;1,00000;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;yes;0,01087;;;;;;;;;8;0,01190;>250000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;126;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;only the ones that are parallelizable!;;;;;;;;;
127;;;;;;;;;;;;no;0,01087;;;;;;;;;1;0,01190;1.0:150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;127;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;Li2018;;;;;;;;
128;;;;;;;;;;;;no;0,01087;;;;;;;;;1;0,01190;>150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;128;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;;;;;;;;;
129;;;;;;;;;;;;no;0,01087;;;;;;;;;1;0,01190;1.0:30000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;129;;;;;0,25000;;;;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;;
130;;;;;;;;;;;;no;0,01087;;;;;;;;;1;0,01190;30000.0:90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;130;;;;;0,20000;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
131;;;;;;;;;;;;no;0,01087;;;;;;;;;1;0,01190;>90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;131;;;;;0,25000;;;;;;;;0,25000;;0,25000;;0,25000;;;;;;;;;;;;
132;;;;;;;;;;;;yes;0,01087;;;;;;;;;25;0,01190;1.0:60000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;132;;;;;1,00000;;;;;;;;;;;;;;;;;;;;;;;;
133;;;;;;;;;;;;yes;0,01087;;;;;;;;;25;0,01190;60000.0:90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;133;;;;;;;;;;;;;;;1,00000;;;;;;;;;;;;;;
134;;;;;;;;;;;;yes;0,01087;;;;;;;;;25;0,01190;>90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;134;;;;;;;;;;;;;0,33333;;0,33333;;0,33333;;;;;;;;;;;;
135;;;;;;;;;;;;yes;0,01087;;;;;;;;;25;0,01190;1.0:150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;135;;;;;0,50000;;;;;;;;;;0,50000;;;;;;;;;;;;;;
136;;;;;;;;;;;;yes;0,01087;;;;;;;;;25;0,01190;>150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01053;136;;;;;0,50000;;;;;;;;;;0,50000;;;;;;;;;;;;;;
137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;1,00000;;;;Hutter2019;;;;;;;;
138;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;0,00629;;;;no;0,02703;;;;;;;no;0,00862;[continuous];0,00769;;;;;;;;;;;;;;;;;;;;138;;;;;;;;;1,00000;;;;;;;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;0,02703;;;;;>10;0,00775;yes;0,00862;;;;;;;;;;;;;;;;;;;;;;139;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;;;;;;;;;;>86400;0,00629;;;;yes;0,02703;;;;;;;;;[continuous];0,00769;;;;;;;;;;;;;;;;;;;;140;;;;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;1,00000;;;;;;;;;;;;;;;;;;;;KEL;;;;;;;;
142;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;speed very dependent on ML model training time;;;;;;
149;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;0,16667;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;speed very dependent on ML model training time, fabolas equally fast as bohb and hb;;;;;;
155;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;0,08;;;;;0,08;0,08;0,08;;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;ML model training time for 1 trial and max trials should also be included.;;;;;;
157;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;;;;;;;
159;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;159;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;;;;;;;
160;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;;;;;1.0:172800;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;>100000;0,01136;;;;;;;;;;;162;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;has to include a time limit! Otherwise multi-fidelity techniques do not make sense;;;;;;
163;;;;;;;;;;;;;;;;;;;;;;;;1.0:172800;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;;;;1.0:172801;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;;;;1.0:172802;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
166;;;;;;;;;;;;;;;;;;;;;;;;1.0:172803;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
167;;;;;;;;;;;;;;;;;;;;;;;;1.0:172804;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;;;;;;1.0:172805;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;;;;;;
169;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;transparency;;;;;;
170;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;;;;;;
171;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;;;;;;
172;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;;;;;;
173;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;;;;;;
174;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;;;
175;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175;0,25000;0,25000;0,25000;;0,25000;;;;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;well documented library;;;;;;
177;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
178;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
179;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
180;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
181;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
182;;;;;;;;yes;0,07692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;;;;;;
183;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;0,20000;;;;0,20000;;0,20000;;;;;;;0,20000;;;0,20000;;;;;;<48h on 1 worker?;;;;;;
184;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
185;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
186;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
187;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
188;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
189;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189;0,25000;;;;;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
190;;;;;;;;;;;;no;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;;;;;0,25000;;0,25000;;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
191;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;parallel computing;;;;;;
192;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
193;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
194;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
195;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
196;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
197;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;
198;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;0,33333;0,33333;;;;;;;;;0,33333;;;;;;;;;Vladimir Samsonov added HB;;;;;;
199;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;parallel computing >2h;;;;;;
200;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;>7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;204;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;0,20000;0,20000;;;;;;;;;;;0,20000;0,20000;;;0,20000;;;;;;parallel computing <48h;;;;;;
